rna_name	rna_id	rna_type	bulgeLabel	bulgeLen	bulgeEnergy	label5p	energy5p	label3p	energy3p
bpRNA_SRP_648	56976	snoRNA	B1	1	1.3	S4	-4.95	S3	-1.4
bpRNA_SRP_648	56976	snoRNA	B2	1	1.6	S3	-1.4	S2	-6.8
bpRNA_SRP_60	56388	snoRNA	B1	2	2.8	S14	-3.05	S15	-1.0
bpRNA_SRP_60	56388	snoRNA	B2	1	1.6	S20	-2.1	S21	-10.15
bpRNA_SRP_60	56388	snoRNA	B4	3	3.2	S20	-2.1	S19	-11.4
bpRNA_SRP_60	56388	snoRNA	B5	3	3.2	S19	-11.4	S18	-18.4
bpRNA_SRP_775	57103	snoRNA	B1	1	2.7	S3	-2.1	S4	-6.45
bpRNA_SRP_775	57103	snoRNA	B3	3	3.2	S3	-2.1	S2	-9.5
bpRNA_SRP_775	57103	snoRNA	B4	3	3.2	S2	-9.5	S1	-12.7
bpRNA_SRP_617	56945	snoRNA	B2	1	1.7	S23	-5.0	S24	-1.95
bpRNA_SRP_856	57184	snoRNA	B1	1	1.7	S5	-13.25	S4	-13.0
bpRNA_SRP_856	57184	snoRNA	B2	1	-0.927	S3	-1.97	S2	-14.35
bpRNA_SRP_856	57184	snoRNA	B3	3	3.2	S2	-14.35	S1	-22.3
bpRNA_SRP_97	56425	snoRNA	B1	1	2.4	S1	-1.5	S2	-15.3
bpRNA_SRP_97	56425	snoRNA	B2	1	1.6	S6	-2.1	S5	-4.8
bpRNA_SRP_782	57110	snoRNA	B1	1	-1.077	S12	-2.05	S13	-6.0
bpRNA_SRP_782	57110	snoRNA	B2	1	2.7	S18	-2.1	S19	-6.45
bpRNA_SRP_782	57110	snoRNA	B4	3	3.2	S18	-2.1	S17	-9.5
bpRNA_SRP_782	57110	snoRNA	B5	3	3.2	S17	-9.5	S16	-14.6
bpRNA_SRP_782	57110	snoRNA	B6	1	2.5	S15	-4.15	S14	-4.6
bpRNA_SRP_519	56847	snoRNA	B1	4	3.6	S8	-14.8	S9	-8.55
bpRNA_SRP_519	56847	snoRNA	B2	1	0.5	S10	-11.55	S11	-7.45
bpRNA_SRP_519	56847	snoRNA	B3	1	0.5	S14	-3.3	S15	-7.25
bpRNA_SRP_519	56847	snoRNA	B4	3	3.2	S14	-3.3	S13	-12.75
bpRNA_SRP_424	56752	snoRNA	B1	1	0.4	S6	-7.2	S7	-10.0
bpRNA_SRP_424	56752	snoRNA	B2	1	1.7	S11	-5.05	S12	-0.85
bpRNA_SRP_424	56752	snoRNA	B3	2	2.8	S12	-0.85	S13	-15.4
bpRNA_SRP_424	56752	snoRNA	B5	1	1.7	S23	-4.8	S24	-4.35
bpRNA_SRP_424	56752	snoRNA	B6	2	2.8	S10	-7.2	S9	0.4
bpRNA_SRP_809	57137	snoRNA	B1	1	1.6	S4	-2.1	S5	-5.95
bpRNA_SRP_809	57137	snoRNA	B2	2	2.8	S4	-2.1	S3	-6.15
bpRNA_SRP_546	56874	snoRNA	B1	1	1.7	S2	-0.55	S3	-5.25
bpRNA_SRP_546	56874	snoRNA	B2	2	2.8	S2	-0.55	S1	-11.35
bpRNA_SRP_271	56599	snoRNA	B1	5	4.0	S8	-8.25	S9	-4.2
bpRNA_SRP_271	56599	snoRNA	B2	1	2.3	S9	-4.2	S10	-8.2
bpRNA_SRP_271	56599	snoRNA	B4	1	0.5	S16	-3.3	S17	-7.25
bpRNA_SRP_271	56599	snoRNA	B5	3	3.2	S16	-3.3	S15	-6.2
bpRNA_SRP_120	56448	snoRNA	B1	1	1.7	S17	-3.3	S18	-8.25
bpRNA_SRP_120	56448	snoRNA	B2	1	2.3	S22	-8.2	S21	-13.5
bpRNA_SRP_286	56614	snoRNA	B1	2	2.8	S7	-6.05	S8	-0.6
bpRNA_SRP_286	56614	snoRNA	B2	2	2.8	S8	-0.6	S9	-4.6
bpRNA_SRP_286	56614	snoRNA	B3	4	3.6	S12	-1.5	S11	-6.9
bpRNA_SRP_363	56691	snoRNA	B1	4	3.6	S7	-14.8	S8	-8.55
bpRNA_SRP_363	56691	snoRNA	B2	1	0.5	S9	-11.55	S10	-7.45
bpRNA_SRP_363	56691	snoRNA	B3	1	0.5	S13	-3.3	S14	-7.25
bpRNA_SRP_363	56691	snoRNA	B4	3	3.2	S13	-3.3	S12	-12.75
bpRNA_SRP_150	56478	snoRNA	B2	3	3.2	S12	-3.3	S11	-12.65
bpRNA_SRP_638	56966	snoRNA	B1	1	1.6	S6	-1.65	S5	-0.42
bpRNA_SRP_705	57033	snoRNA	B1	3	3.2	S4	-8.15	S5	-7.6
bpRNA_SRP_10	56338	snoRNA	B1	7	4.6	S4	-16.6	S3	-7.55
bpRNA_SRP_10	56338	snoRNA	B2	2	2.8	S10	-15.85	S11	-8.25
bpRNA_SRP_10	56338	snoRNA	B3	1	0.4	S18	-1.97	S17	-12.4
bpRNA_SRP_10	56338	snoRNA	B5	4	3.6	S15	-14.8	S14	-14.05
bpRNA_SRP_10	56338	snoRNA	B6	4	3.6	S12	-23.75	S11	-8.25
bpRNA_SRP_10	56338	snoRNA	B9	1	1.7	S2	-8.8	S1	-19.0
bpRNA_SRP_826	57154	snoRNA	B1	1	1.7	S14	-5.5	S15	-9.1
bpRNA_SRP_826	57154	snoRNA	B2	1	2.3	S17	-21.1	S16	-11.95
bpRNA_SRP_826	57154	snoRNA	B3	1	1.7	S18	-1.8	S19	-3.3
